business_name;category;subcategory;city;province;region;address;website;email;phone;instagram_username;instagram_url;facebook_url;contact_name;source;source_url;provenienza;data_quality;score;priority;notes
Bolle & Cucce;Toelettature;"Toelettatura cani e gatti; nuova pensione per gatti con ricoveri singoli; lavaggio self-service";Empoli;FI;Toscana;Via Guido Monaco, 57 - 50053;http://bolleecucce.it;bolleecucce@gmail.com;+39 3398803542;;;https://www.facebook.com/p/BOLLE-CUCCE-100063648502056/;Cristina Perugi (per directory GLOBElife);Facebook / Quotalo / GLOBElife;https://www.facebook.com/p/BOLLE-CUCCE-100063648502056/;manuale;92;97;A+;FB ca. 900 like, 96% raccomandazioni (23 recensioni). La scheda GLOBElife 'Perugi Cristina' condivide indirizzo e servizi: stessa attività.
Lala' - Pet a Porter;Toelettature;"Boutique e toelettatura cani e gatti; dog taxi; dal 2010";Bassano del Grappa;VI;Veneto;Vicolo Da Ponte, 15 - 36061;http://www.lalashop.it;info@lalashop.it;+39 0424523972, +39 3480446837;;;;;BassanoDaScoprire / ToelettaturaPro;http://shopping.bassanodascoprire.eu/negozio.aspx?n=toelettaturalala;manuale;77;86;A;Rating 4,9 su 114 recensioni su ToelettaturaPro.
Ambulatorio Veterinario Dr. Martino Cocca (Ambulatorio Crispi);Ambulatori veterinari;"Medicina e chirurgia cani, gatti e piccoli esotici; ecografia, RX, endoscopia; reperibilità notturna e festivi";Campobasso;CB;Molise;Via Alfredo Trombetta, 38/40/42 - 86100;https://coccaveterinario.bdf.land/;ambulatorio.crispi@libero.it;+39 0874483580, +39 3332411108;;;;Dr. Martino Cocca;Sito ufficiale / PagineBianche;https://coccaveterinario.bdf.land/;manuale;85;85;A;Reperibilità notturna/festivi dichiarata: punto di riferimento per urgenze.
Ambulatorio Veterinario Festa (Dott. Ezio Festa);Ambulatori veterinari;"Dermatologia, ortopedia, cardiologia, oculistica, comportamentali; anche animali non convenzionali";Bassano del Grappa;VI;Veneto;Vicolo Ca' Erizzo, 11 - 36061;http://www.festaambvet.eu;info@festaambvet.eu;+39 0424527912;;;;Dott. Ezio Festa;PagineBianche;https://www.paginebianche.it/ambulatorioveterinariofesta-bassanodelgrappa;manuale;85;85;A;Visite comportamentali = sinergia diretta con PetNote. Orari pubblicati. Fuse le voci 'Dott. Ezio Festa' e 'Ambulatorio Veterinario Festa' (stesso indirizzo).
Centro Cinofilo Bauhaus Bassano;Centri cinofili;Pensione per cani e percorsi di educazione;Bassano del Grappa;VI;Veneto;Strada Sette Case, 100 - 36061;https://www.bauhausbassano.com;info@bauhausbassano.com;+39 3338105454;;;https://www.facebook.com/bauhausbassano/;;Facebook;https://www.facebook.com/bauhausbassano/;manuale;85;84;A;Pagina FB recente (42 like) ma sito e email propri.
Palla di Pelo;Pet shop;"Pet store in centro a Tivoli; consegne a domicilio gratuite";Tivoli;RM;Lazio;Via Palatina, 51 - 00019;https://www.palladipelo.it/;manuela.arnetoli@yahoo.com;+39 3355421234;;;;Manuela Arnetoli;Sito ufficiale;https://www.palladipelo.it/;manuale;85;84;A;Servizio di consegna domiciliare: potenziale canale per materiali PetNote. | Facebook: Facebook (link dal sito)
Centro Cinofilo Erika Striulli - ACAFOC SSD arl;Centri cinofili;"Educazione relazionale, rieducazione, pet therapy, zooantropologia; formazione educatori e operatori di canile; sedi sarde multiple";Quartu Sant'Elena;CA;Sardegna;Via Serra Perdosa, f.c. 60 - 09045;https://www.erikastriulli.it/;info@erikastriulli.it;+39 3497207357;;;;"Dott.ssa Erika Striulli; staff: Carlo Corrado, Michela Piseddu, Claudia Vacca";Sito ufficiale;https://www.erikastriulli.it/;manuale;85;83;A;Struttura formativa completa: potenziale partner di primo piano in Sardegna.
ASD Centro Cinofilo Il Lupo - Scuola di Educazione Cinofila;Centri cinofili;Educazione base/avanzata, puppy class, recupero comportamentale, attività assistite nelle scuole, agility;Empoli;FI;Toscana;"Via della Nave di Marcignana - 50053 (sede sito ufficiale); Cani.com riporta Via della Piovola, 61";https://www.lupocinofilia.it/;sauro.lupo@gmail.com;+39 3296118131;;;;Sauro Carraesi (addestratore ENCI, diploma SIUA);Sito ufficiale / Cani.com;https://www.lupocinofilia.it/educatore-cinofilo-firenze-empoli/;manuale;85;83;A;"Doppia sede indicata dalle fonti; le consulenze post-affido dal canile = sinergia diretta con PetNote."
Polivet - Policlinico Veterinario Roma Nord;Ospedali veterinari;"Ospedale H24/365: pronto soccorso, chirurgia, terapia, animali esotici; ambulanza veterinaria; consulenza online";Roma;RM;Lazio;"Ospedale: Via Salaria, 1317 - 00138; Ambulatorio: Via Prenestina, 364d - 00171";https://www.polivet.it/;;+39 0690214900;;;;Dr. Simone Rota (direttore sanitario);Sito ufficiale;https://www.polivet.it/;manuale;77;82;A;Due sedi (Salaria + Prenestina). Sito aggiornato (2026): struttura di vertice, ideale per partnership cliniche.
Associazione Rifugio a Quattro Zampe;Rifugi per animali;"Rifugio per cani e gatti; adozioni";Altamura;BA;Puglia;Zona Monteverde - 70022 (indirizzo FB grezzo: 'Sce 32 Monteverde');https://linktr.ee/rifugioaquattrozampe;rifugioaquattrozampe@gmail.com;+39 3929286955;;;https://www.facebook.com/p/Associazione-rifugioaquattrozampe-100069996459854/;;Facebook;https://www.facebook.com/p/Associazione-rifugioaquattrozampe-100069996459854/;manuale;85;82;A;Pagina Facebook molto attiva (ca. 9.900 like, post recenti): ottima base per partnership sulle adozioni.
